title,description,link,keywords,expiration
"The Full Police, Crime and Sentencing Bill 2021",All 307 pages of the bill.,https://publications.parliament.uk/pa/bills/cbill/58-01/0268/200268.pdf?fbclid=IwAR0v0BL8hAoRO5C0vLFO5o3zjTnPy0pLxc15iloG9jcaRHszAYqOqPthaH0,document,
A summary of the bill,This is a goverment summary so does not actually cover the most significant parts in detail,https://www.gov.uk/government/publications/police-crime-sentencing-and-courts-bill-2021-factsheets/police-crime-sentencing-and-courts-bill-2021-protest-powers-factsheet,info,
Netpol's Charter,Netpol's charter and petition - lots of good information,https://netpol.org/charter/,petition info,
Summary of the bill,"A goverment summary of the bill, possibly easer for sending to MPs",https://www.gov.uk/government/publications/police-crime-sentencing-and-courts-bill-2021-factsheets/police-crime-sentencing-and-courts-bill-2021-protest-powers-factsheet,info,
Draft Letter to MP,"Simple Draft letter, editting as much as possible encouraged",https://docs.google.com/document/d/1eoafwkfxJhFcd1NV0jRzLoynmwK7AyacMzQTepbDEf0/preview?fbclid=IwAR06FJbLeBzALV4RhNsyORj4ZOLw_XNrKaXF6jRhdrK-3tl4smeKqaVGCHU,letter,
Greenpeace petition,,https://secure.greenpeace.org.uk/page/s/the-right-to-protest,petition,
38 Degrees petition,"""We call on the Home Secretary and Secretary of State for Justice to scrap damaging proposals in the Police Crime Sentencing and Courts Bill""",https://speakout.38degrees.org.uk/campaigns/stop-the-attacks-on-our-democratic-rights-policing-bill,petition,
Parliament petition,"""Do not restrict our rights to peaceful protest. """,https://petition.parliament.uk/petitions/579012,petition,
38 Degrees petition 2,"""PROTECT YOUR FREEDOM TO PROTEST"" petition from NetPol",https://you.38degrees.org.uk/petitions/protect-the-freedom-to-protest,petition,
Welsh Goverment Report,Details the Welsh Gov view of this criminalisation of tresspass,https://gov.wales/written-statement-police-crime-sentencing-and-courts-bill,info,
Friends of the Earth open letter,"Read the open letter calling for the Home Secretary and Secretary of State for Justice to urge the government to reconsider the Police, Crime, Sentencing and Courts Bill. ",https://friendsoftheearth.uk/system-change/open-letter-home-secretary-and-secretary-state-justice,letter,
